iter	Passed	Remaining
0	136	136706
1	138	69244
2	141	46894
3	143	35766
4	145	29039
5	148	24643
6	151	21506
7	153	19076
8	156	17203
9	158	15731
10	161	14550
11	164	13561
12	167	12716
13	169	11955
14	172	11324
15	174	10760
16	177	10249
17	179	9790
18	181	9381
19	183	9013
20	186	8678
21	188	8377
22	190	8101
23	193	7856
24	194	7603
25	197	7407
26	200	7211
27	202	7031
28	204	6845
29	206	6673
30	208	6516
31	210	6366
32	212	6233
33	214	6103
34	217	5987
35	219	5884
36	221	5771
37	224	5676
38	226	5578
39	228	5489
40	230	5398
41	232	5307
42	234	5222
43	236	5144
44	238	5067
45	240	4991
46	242	4921
47	244	4854
48	246	4786
49	248	4724
50	250	4661
51	252	4599
52	253	4537
53	255	4478
54	257	4421
55	259	4376
56	261	4327
57	263	4278
58	265	4228
59	267	4183
60	268	4135
61	270	4091
62	272	4051
63	274	4011
64	276	3973
65	278	3939
66	280	3899
67	281	3862
68	283	3828
69	285	3799
70	288	3769
71	290	3737
72	291	3706
73	293	3675
74	295	3647
75	297	3619
76	299	3590
77	301	3563
78	303	3535
79	305	3510
80	307	3487
81	309	3462
82	310	3427
83	312	3403
84	314	3380
85	315	3356
86	317	3333
87	319	3311
88	321	3291
89	323	3268
90	325	3247
91	326	3226
92	328	3206
93	330	3188
94	333	3172
95	335	3156
96	337	3139
97	339	3121
98	341	3103
99	342	3086
100	344	3068
101	346	3051
102	348	3034
103	350	3017
104	351	3000
105	353	2982
106	355	2966
107	357	2949
108	358	2934
109	360	2918
110	362	2903
111	364	2889
112	366	2876
113	368	2861
114	369	2847
115	371	2833
116	373	2817
117	375	2805
118	377	2791
119	379	2781
120	381	2768
121	382	2755
122	384	2742
123	386	2729
124	388	2719
125	390	2708
126	391	2693
127	393	2682
128	396	2673
129	397	2663
130	399	2652
131	401	2639
132	403	2628
133	404	2617
134	406	2605
135	408	2594
136	410	2584
137	412	2573
138	413	2563
139	415	2552
140	417	2541
141	418	2528
142	420	2519
143	421	2508
144	423	2499
145	425	2489
146	427	2480
147	429	2469
148	430	2460
149	432	2452
150	434	2444
151	436	2434
152	438	2424
153	439	2415
154	441	2408
155	443	2400
156	445	2392
157	447	2383
158	449	2375
159	450	2367
160	452	2356
161	454	2350
162	456	2342
163	458	2334
164	460	2328
165	461	2320
166	463	2312
167	466	2308
168	468	2301
169	470	2295
170	471	2287
171	474	2282
172	475	2274
173	477	2267
174	479	2259
175	480	2250
176	482	2243
177	484	2237
178	486	2232
179	488	2225
180	490	2219
181	492	2211
182	493	2204
183	495	2198
184	497	2190
185	498	2183
186	500	2176
187	503	2172
188	505	2167
189	506	2161
190	508	2154
191	510	2148
192	512	2143
193	514	2139
194	517	2135
195	519	2130
196	521	2125
197	523	2121
198	526	2117
199	528	2112
200	530	2108
201	532	2103
202	534	2097
203	536	2092
204	538	2086
205	539	2080
206	541	2074
207	543	2069
208	545	2063
209	547	2058
210	549	2053
211	550	2047
212	552	2042
213	554	2036
214	556	2031
215	558	2025
216	560	2021
217	562	2016
218	564	2011
219	565	2005
220	567	2001
221	569	1995
222	571	1990
223	573	1985
224	586	2019
225	593	2031
226	595	2029
227	598	2025
228	600	2021
229	602	2016
230	604	2012
231	607	2010
232	609	2005
233	611	2001
234	613	1995
235	614	1990
236	616	1985
237	619	1982
238	621	1979
239	624	1977
240	626	1974
241	628	1969
242	630	1965
243	634	1965
244	637	1963
245	639	1960
246	641	1956
247	643	1952
248	645	1947
249	647	1943
250	650	1940
251	652	1937
252	655	1934
253	657	1930
254	659	1926
255	661	1922
256	665	1924
257	668	1924
258	674	1931
259	693	1972
260	695	1968
261	697	1965
262	700	1962
263	702	1958
264	704	1954
265	707	1951
266	710	1949
267	712	1945
268	714	1941
269	716	1936
270	718	1931
271	719	1926
272	722	1922
273	724	1918
274	725	1913
275	727	1909
276	729	1904
277	731	1900
278	733	1895
279	735	1890
280	737	1887
281	739	1882
282	742	1881
283	745	1879
284	747	1876
285	750	1874
286	752	1870
287	755	1867
288	758	1865
289	760	1861
290	762	1858
291	765	1855
292	767	1851
293	769	1847
294	771	1842
295	772	1838
296	774	1834
297	776	1829
298	778	1825
299	780	1821
300	782	1817
301	784	1813
302	786	1808
303	788	1804
304	789	1799
305	791	1795
306	793	1791
307	795	1786
308	797	1782
309	798	1778
310	800	1773
311	802	1769
312	804	1766
313	806	1762
314	808	1758
315	810	1754
316	812	1750
317	814	1746
318	816	1742
319	817	1737
