iter	Passed	Remaining
0	141	141611
1	144	71967
2	152	50617
3	155	38732
4	165	32870
5	167	27759
6	169	24113
7	174	21590
8	177	19494
9	179	17760
10	181	16334
11	183	15136
12	186	14124
13	188	13286
14	190	12522
15	192	11844
16	194	11237
17	196	10707
18	198	10235
19	200	9816
20	202	9448
21	205	9127
22	207	8822
23	210	8567
24	215	8389
25	217	8148
26	220	7946
27	223	7759
28	225	7560
29	231	7478
30	233	7290
31	235	7112
32	237	6950
33	238	6788
34	240	6643
35	243	6507
36	245	6376
37	246	6249
38	249	6138
39	251	6039
40	253	5930
41	255	5834
42	257	5738
43	259	5645
44	261	5553
45	263	5462
46	265	5379
47	266	5295
48	268	5216
49	270	5143
50	272	5077
51	274	5009
52	276	4945
53	278	4876
54	280	4811
55	281	4748
56	283	4688
57	285	4630
58	287	4580
59	289	4531
60	291	4481
61	293	4436
62	295	4391
63	297	4344
64	299	4301
65	300	4257
66	303	4226
67	305	4189
68	307	4146
69	309	4106
70	311	4069
71	312	4032
72	314	3994
73	316	3963
74	319	3940
75	321	3909
76	323	3876
77	325	3844
78	327	3813
79	329	3785
80	331	3759
81	333	3733
82	334	3695
83	336	3671
84	338	3647
85	341	3629
86	343	3602
87	345	3580
88	347	3557
89	349	3534
90	351	3510
91	353	3483
92	354	3460
93	356	3437
94	358	3413
95	360	3395
96	362	3378
97	365	3361
98	367	3340
99	369	3321
100	370	3300
101	372	3280
102	375	3269
103	377	3254
104	379	3237
105	381	3219
106	383	3200
107	385	3182
108	387	3164
109	388	3146
110	390	3130
111	392	3115
112	394	3099
113	396	3082
114	398	3066
115	400	3051
116	401	3033
117	404	3020
118	406	3011
119	408	2998
120	410	2985
121	412	2969
122	414	2954
123	416	2940
124	417	2925
125	419	2912
126	421	2899
127	424	2888
128	425	2875
129	427	2863
130	429	2851
131	431	2838
132	433	2825
133	435	2815
134	437	2805
135	439	2793
136	441	2782
137	443	2770
138	446	2764
139	448	2754
140	450	2746
141	452	2733
142	454	2722
143	456	2713
144	458	2703
145	460	2693
146	462	2683
147	464	2673
148	466	2665
149	469	2658
150	471	2649
151	473	2641
152	475	2632
153	478	2627
154	480	2621
155	483	2614
156	485	2606
157	487	2599
158	489	2591
159	491	2582
160	493	2570
161	496	2568
162	498	2562
163	501	2555
164	503	2548
165	505	2538
166	507	2530
167	509	2521
168	511	2515
169	513	2508
170	516	2505
171	519	2499
172	521	2491
173	523	2482
174	525	2477
175	527	2471
176	529	2464
177	532	2457
178	534	2449
179	535	2441
180	537	2434
181	540	2429
182	542	2424
183	545	2418
184	547	2412
185	549	2405
186	551	2397
187	553	2389
188	555	2385
189	558	2382
190	561	2377
191	563	2370
192	565	2363
193	567	2355
194	570	2353
195	572	2347
196	574	2342
197	576	2336
198	578	2329
199	580	2322
200	582	2315
201	585	2314
202	588	2309
203	590	2303
204	592	2296
205	594	2289
206	596	2284
207	599	2282
208	602	2280
209	604	2274
210	606	2269
211	608	2263
212	610	2257
213	612	2251
214	615	2248
215	618	2243
216	621	2241
217	623	2235
218	625	2229
219	627	2223
220	630	2221
221	632	2217
222	634	2211
223	636	2205
224	638	2199
225	640	2193
226	642	2186
227	645	2184
228	647	2179
229	649	2174
230	651	2169
231	653	2162
232	655	2156
233	657	2151
234	659	2145
235	662	2145
236	664	2140
237	666	2135
238	668	2130
239	670	2124
240	672	2118
241	675	2114
242	677	2110
243	679	2106
244	681	2100
245	683	2096
246	685	2090
247	687	2085
248	690	2084
249	693	2079
250	695	2076
251	698	2073
252	700	2068
253	702	2062
254	705	2060
255	709	2060
256	711	2057
257	713	2053
258	715	2047
259	717	2043
260	720	2041
261	723	2036
262	725	2032
263	727	2027
264	728	2021
265	730	2015
266	732	2011
267	734	2007
268	737	2002
